City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,trairi,-3.2778,-39.2689,26.32,77,25,5.51,BR,1670285688
309,riyadh,24.6877,46.7219,20.08,41,44,4.28,SA,1670285718
310,vestmannaeyjar,63.4427,-20.2734,4.0,68,33,2.19,IS,1670285885
311,salo,45.6086,10.531,7.66,78,18,2.4,IT,1670285885
312,oga,46.4631,10.347,-4.0,96,75,1.53,IT,1670285886
313,half moon bay,37.4636,-122.4286,15.34,77,0,3.09,US,1670285662
314,taiyuan,37.8694,112.5603,-9.08,73,13,0.0,CN,1670285887
315,nara,34.6851,135.8049,10.54,51,56,3.68,JP,1670285887
316,aberdeen,57.1437,-2.0981,5.27,96,100,6.17,GB,1670285888
317,cap malheureux,-19.9842,57.6142,23.04,81,52,1.79,MU,1670285888
318,sosnovo-ozerskoye,52.5249,111.5418,-12.09,84,100,10.34,RU,1670285889
319,aginskoye,51.1,114.53,-10.15,68,100,12.03,RU,1670285891
320,sorland,67.667,12.6934,2.92,81,100,16.97,NO,1670285892
321,manokwari,-0.8667,134.0833,27.03,76,100,1.57,ID,1670285892
322,opuwo,-18.0607,13.84,20.45,36,25,2.35,NA,1670285893
323,san rafael,-34.6177,-68.3301,27.52,32,50,2.4,AR,1670285894
324,maneromango,-7.1988,38.7848,19.91,98,97,1.4,TZ,1670285895
325,port-gentil,-0.7193,8.7815,26.87,78,91,2.69,GA,1670285896
326,bose,45.4612,8.0137,4.6,79,9,2.78,IT,1670285897
327,batagay-alyta,67.8006,130.4114,-27.78,99,100,1.17,RU,1670285898
328,ilulissat,69.2167,-51.1,6.01,45,100,5.14,GL,1670285796
329,hofn,64.2539,-15.2082,1.86,68,35,4.25,IS,1670285901
330,cururupu,-1.8283,-44.8683,24.58,88,43,2.0,BR,1670285903
331,meulaboh,4.1363,96.1285,23.4,91,100,1.82,ID,1670285904
332,yar-sale,66.8333,70.8333,-17.79,98,21,2.76,RU,1670285905
333,wadi musa,30.3222,35.4793,9.04,92,40,0.88,JO,1670285906
334,vanavara,60.34,102.2797,-12.2,90,100,5.1,RU,1670285906
335,gizo,-8.103,156.8419,29.0,70,100,4.26,SB,1670285909
336,jishu,44.3167,126.8,-11.57,66,0,6.01,CN,1670285909
337,port moresby,-9.4431,147.1797,29.23,63,55,3.54,PG,1670285910
338,maningrida,-12.0667,134.2667,32.32,49,74,0.69,AU,1670285912
339,bulnes,-36.7423,-72.2985,16.88,51,0,2.49,CL,1670285913
340,aswan,24.0934,32.907,16.3,60,0,4.94,EG,1670285913
341,san jose,37.3394,-121.895,15.43,67,40,4.12,US,1670285910
342,kandry,54.5667,54.1167,-23.49,100,100,0.28,RU,1670285914
343,matagami,49.7502,-77.6328,-10.94,85,100,0.0,CA,1670285914
344,sabha,27.0377,14.4283,19.21,21,0,4.49,LY,1670285915
345,olavarria,-36.8927,-60.3225,26.74,20,2,4.34,AR,1670285915
346,guerrero negro,27.9769,-114.0611,18.19,82,9,8.04,MX,1670285915
347,miles city,46.4083,-105.8406,-5.46,93,100,2.57,US,1670285652
348,lukovetskiy,64.2956,41.9211,-8.12,92,100,4.5,RU,1670285916
349,dzilam gonzalez,21.2833,-88.9333,25.47,66,38,4.16,MX,1670285916
350,nizhnevartovsk,60.9344,76.5531,-11.99,100,100,1.0,RU,1670285917
351,tolaga bay,-38.3667,178.3,23.97,41,72,0.23,NZ,1670285917
352,male,4.1748,73.5089,27.97,78,75,2.06,MV,1670285435
353,gondanglegi,-7.7479,112.0132,26.06,83,100,0.69,ID,1670285917
354,teknaf,20.8624,92.3058,20.16,81,4,2.9,BD,1670285918
